date_key,full_date,day,day_of_week,day_name,week_of_year,month,month_name,quarter,year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,fiscal_year,fiscal_quarter
198,2011-07-17,17,6,Sunday,28,7,July,3,2011,1,0,0,0,0,0,0,2012,2
199,2011-07-18,18,0,Monday,29,7,July,3,2011,0,0,0,0,0,0,0,2012,2
200,2011-07-19,19,1,Tuesday,29,7,July,3,2011,0,0,0,0,0,0,0,2012,2
201,2011-07-20,20,2,Wednesday,29,7,July,3,2011,0,0,0,0,0,0,0,2012,2
202,2011-07-21,21,3,Thursday,29,7,July,3,2011,0,0,0,0,0,0,0,2012,2
203,2011-07-22,22,4,Friday,29,7,July,3,2011,0,0,0,0,0,0,0,2012,2
204,2011-07-23,23,5,Saturday,29,7,July,3,2011,1,0,0,0,0,0,0,2012,2
205,2011-07-24,24,6,Sunday,29,7,July,3,2011,1,0,0,0,0,0,0,2012,2
206,2011-07-25,25,0,Monday,30,7,July,3,2011,0,0,0,0,0,0,0,2012,2
207,2011-07-26,26,1,Tuesday,30,7,July,3,2011,0,0,0,0,0,0,0,2012,2
208,2011-07-27,27,2,Wednesday,30,7,July,3,2011,0,0,0,0,0,0,0,2012,2
209,2011-07-28,28,3,Thursday,30,7,July,3,2011,0,0,0,0,0,0,0,2012,2
210,2011-07-29,29,4,Friday,30,7,July,3,2011,0,0,0,0,0,0,0,2012,2
211,2011-07-30,30,5,Saturday,30,7,July,3,2011,1,0,0,0,0,0,0,2012,2
212,2011-07-31,31,6,Sunday,30,7,July,3,2011,1,0,1,0,0,0,0,2012,2
213,2011-08-01,1,0,Monday,31,8,August,3,2011,0,1,0,0,0,0,0,2012,2
214,2011-08-02,2,1,Tuesday,31,8,August,3,2011,0,0,0,0,0,0,0,2012,2
215,2011-08-03,3,2,Wednesday,31,8,August,3,2011,0,0,0,0,0,0,0,2012,2
216,2011-08-04,4,3,Thursday,31,8,August,3,2011,0,0,0,0,0,0,0,2012,2
217,2011-08-05,5,4,Friday,31,8,August,3,2011,0,0,0,0,0,0,0,2012,2
218,2011-08-06,6,5,Saturday,31,8,August,3,2011,1,0,0,0,0,0,0,2012,2
219,2011-08-07,7,6,Sunday,31,8,August,3,2011,1,0,0,0,0,0,0,2012,2
220,2011-08-08,8,0,Monday,32,8,August,3,2011,0,0,0,0,0,0,0,2012,2
221,2011-08-09,9,1,Tuesday,32,8,August,3,2011,0,0,0,0,0,0,0,2012,2
222,2011-08-10,10,2,Wednesday,32,8,August,3,2011,0,0,0,0,0,0,0,2012,2
223,2011-08-11,11,3,Thursday,32,8,August,3,2011,0,0,0,0,0,0,0,2012,2
224,2011-08-12,12,4,Friday,32,8,August,3,2011,0,0,0,0,0,0,0,2012,2
225,2011-08-13,13,5,Saturday,32,8,August,3,2011,1,0,0,0,0,0,0,2012,2
226,2011-08-14,14,6,Sunday,32,8,August,3,2011,1,0,0,0,0,0,0,2012,2
227,2011-08-15,15,0,Monday,33,8,August,3,2011,0,0,0,0,0,0,0,2012,2
228,2011-08-16,16,1,Tuesday,33,8,August,3,2011,0,0,0,0,0,0,0,2012,2
229,2011-08-17,17,2,Wednesday,33,8,August,3,2011,0,0,0,0,0,0,0,2012,2
230,2011-08-18,18,3,Thursday,33,8,August,3,2011,0,0,0,0,0,0,0,2012,2
231,2011-08-19,19,4,Friday,33,8,August,3,2011,0,0,0,0,0,0,0,2012,2
232,2011-08-20,20,5,Saturday,33,8,August,3,2011,1,0,0,0,0,0,0,2012,2
233,2011-08-21,21,6,Sunday,33,8,August,3,2011,1,0,0,0,0,0,0,2012,2
